codigo_regiao,nome_regiao,id_uf,nome_uf,CD_MUN,nome_municipio,total_setores,total_pessoas,total_domicilios,total_domicilios_particulares,total_domicilios_coletivos,media_moradores_domicilio_particular_ocupado,percentual_domicilios_particulares_ocupados,total_domicilios_particulares_ocupados
2,Nordeste,23,Ceará,2310001,Palhano,28,9346,4254,4252,2,"2,867750844","0,061368518",3259
2,Nordeste,23,Ceará,2310100,Palmácia,33,10242,4287,4284,3,"3,030186446","0,355134655",3379
2,Nordeste,23,Ceará,2310209,Paracuru,87,38980,20215,20183,32,"2,999538","2,063602064",12987
2,Nordeste,23,Ceará,2310258,Paraipaba,72,32216,14338,14303,35,"2,980366735","1,407668087",10798
2,Nordeste,23,Ceará,2310308,Parambu,104,31445,15369,15365,4,"2,818915285","0,00896459",11155
2,Nordeste,23,Ceará,2310407,Paramoti,32,10384,5039,5038,1,"2,906241254","0,643716765",3573
2,Nordeste,23,Ceará,2310506,Pedra Branca,90,40187,18663,18652,11,"2,820952113","0,007021486",14242
2,Nordeste,23,Ceará,2310605,Penaforte,31,8972,3984,3978,6,"3,067442657","1,403628894",2921
2,Nordeste,23,Ceará,2310704,Pentecoste,79,37813,16703,16695,8,"2,968430972","0,298413696",12734
2,Nordeste,23,Ceará,2310803,Pereiro,43,15274,7362,7358,4,"2,892065897","0,07574323",5281
2,Nordeste,23,Ceará,2310852,Pindoretama,51,23391,10578,10575,3,"2,921914043","4,56021989",8004
2,Nordeste,23,Ceará,2310902,Piquet Carneiro,44,16616,7203,7200,3,"2,894269291","0,121929977",5741
2,Nordeste,23,Ceará,2310951,Pires Ferreira,28,10606,3910,3909,1,"3,248313918",,3262
2,Nordeste,23,Ceará,2311009,Poranga,46,12065,6065,6061,4,"2,863075463",,4214
2,Nordeste,23,Ceará,2311108,Porteiras,66,17050,7018,7018,0,"3,063241107","0,05389867",5566
2,Nordeste,23,Ceará,2311207,Potengi,32,8833,4337,4336,1,"2,818442884","0,574345884",3134
2,Nordeste,23,Ceará,2311231,Potiretama,31,5974,2813,2811,2,"2,799249531","0,09380863",2132
2,Nordeste,23,Ceará,2311264,Quiterianópolis,61,20213,9347,9341,6,"2,910007199",,6945
2,Nordeste,23,Ceará,2311306,Quixadá,196,84168,36341,36312,29,"2,899748163","0,721012868",28987
2,Nordeste,23,Ceará,2311355,Quixelô,57,15910,7415,7414,1,"2,72291631","1,506075646",5843
2,Nordeste,23,Ceará,2311405,Quixeramobim,196,82177,34179,34171,8,"2,866638723","0,489014636",28629
2,Nordeste,23,Ceará,2311504,Quixeré,55,20874,10078,10072,6,"2,693121693","0,800103239",7749
2,Nordeste,23,Ceará,2311603,Redenção,87,27214,12091,12084,7,"2,975281636","0,503117139",9143
2,Nordeste,23,Ceará,2311702,Reriutaba,54,18606,8473,8471,2,"2,82563791",,6584
2,Nordeste,23,Ceará,2311801,Russas,173,72928,34647,34624,23,"2,757615894","0,442762535",26425
2,Nordeste,23,Ceará,2311900,Saboeiro,31,13854,7009,7003,6,"2,806451613","0,365185636",4929
2,Nordeste,23,Ceará,2311959,Salitre,45,16633,7092,7090,2,"3,092413537","0,148754184",5378
2,Nordeste,23,Ceará,2312007,Santana do Acaraú,64,30628,11919,11912,7,"3,167597765","0,010345541",9666
2,Nordeste,23,Ceará,2312106,Santana do Cariri,47,16954,8011,8011,0,"3,009229677","1,650692226",5634
2,Nordeste,23,Ceará,2312205,Santa Quitéria,115,40183,17527,17519,8,"2,873078298","0,607794065",13985
2,Nordeste,23,Ceará,2312304,São Benedito,129,47640,19459,19449,10,"3,04828072","0,076839342",15617
2,Nordeste,23,Ceará,2312403,São Gonçalo do Amarante,112,54143,27508,27218,290,"3,011908737","3,222036728",17970
2,Nordeste,23,Ceará,2312502,São João do Jaguaribe,31,5855,3570,3568,2,"2,469422185","0,084352594",2371
