nome_candidato,codigo_cargo,nome_cargo,numero_candidato,numero_partido
ANTONIO ADILSON EUFRASINO DE PINHO,6,DEPUTADO FEDERAL,9090,90
EVANDRO DA SILVA PONTES,6,DEPUTADO FEDERAL,3323,33
Partido Republicano da Ordem Social,6,DEPUTADO FEDERAL,90,90
ANTONIO JOSÉ AGUIAR ALBUQUERQUE,6,DEPUTADO FEDERAL,1111,11
ANA VALÉRIA ALMEIDA DE BRITO,6,DEPUTADO FEDERAL,4564,45
JULIERME LIMA DE SENA,6,DEPUTADO FEDERAL,4422,44
MARIA JULIANA DE LIMA COUTINHO,6,DEPUTADO FEDERAL,2020,20
ANTONIA JANE MARIA DO VALE MAIA,6,DEPUTADO FEDERAL,4522,45
VERONICA DO AMARAL MADEIRO BATISTA,6,DEPUTADO FEDERAL,2227,22
ERACISO DE OLIVEIRA BRAGA,6,DEPUTADO FEDERAL,5144,51
FRANCISCO ANTÔNIO PEREIRA GOMES,6,DEPUTADO FEDERAL,7040,70
RAFAEL AURELIANO GONÇALVES BRANCO,6,DEPUTADO FEDERAL,1100,11
DEAN DIAS DE ALMEIDA,6,DEPUTADO FEDERAL,1439,14
AGRIPINO RODRIGUES GOMES MAGALHAES,6,DEPUTADO FEDERAL,4433,44
DANIELE LINO MAGALHÃES,6,DEPUTADO FEDERAL,1445,14
FRANCISCO HERMANO LEANDRO DA SILVA GOMES,6,DEPUTADO FEDERAL,7060,70
JUCILENE FERREIRA DE SOUSA,6,DEPUTADO FEDERAL,3570,35
COSME DO VALE AQUINO,6,DEPUTADO FEDERAL,1369,13
ROSA STEFANIA MARINHO GOMES RODRIGUES,6,DEPUTADO FEDERAL,1011,10
JANAÍNA ARAUJO DE OLIVEIRA,6,DEPUTADO FEDERAL,5000,50
MARIA DALILA DE SOUZA FERNANDES,6,DEPUTADO FEDERAL,7090,70
YURY BRUNO ALENCAR ARAÚJO,6,DEPUTADO FEDERAL,2211,22
AILTON CLAÉCIO LOPES DANTAS,6,DEPUTADO FEDERAL,5050,50
RONALDO MANCHADO MARTINS,6,DEPUTADO FEDERAL,1010,10
DAYANY BITTENCOURT SANTIL,6,DEPUTADO FEDERAL,4456,44
JOSÉ LEÔNIDAS DE MENEZES CRISTINO,6,DEPUTADO FEDERAL,1212,12
JOSE LISBOA DA SILVA,6,DEPUTADO FEDERAL,1171,11
SAMILA BRAGA CAVALCANTE,6,DEPUTADO FEDERAL,4499,44
ANTONIO CESAR DO NASCIMENTO SOUSA,6,DEPUTADO FEDERAL,5121,51
LUCIVANIA RODRIGUES,6,DEPUTADO FEDERAL,7099,70
CLÁUDIO SARMENTO AMADO,6,DEPUTADO FEDERAL,5110,51
FRANCISCO ANTONIO FERREIRA LOPES,6,DEPUTADO FEDERAL,1323,13
JOSE AIRTON FELIX CIRILO DA SILVA,6,DEPUTADO FEDERAL,1333,13
JOICIANA SOUSA MATOS CANUTO,6,DEPUTADO FEDERAL,1924,19
ROSA MARIA MOURA ROCHA,6,DEPUTADO FEDERAL,5501,55
FRANCISCO DAS CHAGAS RODRIGUES ALVES,6,DEPUTADO FEDERAL,2225,22
NAPOLEÃO DE VASCONCELOS MONTE,6,DEPUTADO FEDERAL,1093,10
JOSÉ ARNON CRUZ BEZERRA DE MENEZES,6,DEPUTADO FEDERAL,1251,12
MARIGESIO MOURA DA SILVA,6,DEPUTADO FEDERAL,1456,14
CARLOS ALBERTO GUILHERME CAVALCANTE FILHO,6,DEPUTADO FEDERAL,5111,51
ANDERSON PEROBA GOMES,6,DEPUTADO FEDERAL,2300,23
ANDREA MAIA LANDIM,6,DEPUTADO FEDERAL,4029,40
TADEU MAGELA DE OLIVEIRA,6,DEPUTADO FEDERAL,2244,22
RAMSÉS SERRA,6,DEPUTADO FEDERAL,1099,10
FRANCISCO ALAN DE AMORIM QUINTELA,6,DEPUTADO FEDERAL,5080,50
HILTON JOSE DE SOUSA,6,DEPUTADO FEDERAL,1300,13
MARÍLIA FREIRE PAIVA,6,DEPUTADO FEDERAL,4088,40
MARCIO BARROS MAIA,6,DEPUTADO FEDERAL,3500,35
FRANCISCO DANILO BASTOS FORTE,6,DEPUTADO FEDERAL,4447,44
OTAVIO LEITE LUSTOSA FILHO,6,DEPUTADO FEDERAL,2011,20
RAIMUNDO MARCELO CARVALHO DA SILVA,6,DEPUTADO FEDERAL,4343,43
ANA PAULA BRANDÃO DA SILVA FARIAS,6,DEPUTADO FEDERAL,1292,12
ANTONIO AGINALDO DE OLIVEIRA,6,DEPUTADO FEDERAL,2210,22
GIOVANNI SAMPAIO GONDIM,6,DEPUTADO FEDERAL,5557,55
ANDRÉ LUIZ BARBOSA AZEVEDO,6,DEPUTADO FEDERAL,2033,20
CLEONICE PEREIRA DE SOUSA,6,DEPUTADO FEDERAL,5030,50
JESSICA CARVALHO FREITAS,6,DEPUTADO FEDERAL,2010,20
AIRTON DA SILVA,6,DEPUTADO FEDERAL,7033,70
PEDRO WILSON DE SOUSA OLIVEIRA,6,DEPUTADO FEDERAL,5078,50
MARIANA DA SILVA CAVALCANTI,6,DEPUTADO FEDERAL,4321,43
ELAYNE SILVA CARVALHO,6,DEPUTADO FEDERAL,1269,12
MARIA DAS GRAÇAS COSTA,6,DEPUTADO FEDERAL,1314,13
CIRO ALBUQUERQUE MARQUES,6,DEPUTADO FEDERAL,7069,70
SUZANE VIANA MOREIRA,6,DEPUTADO FEDERAL,9017,90
NUBIA LAFAIETE GONCALVES DA SILVA,6,DEPUTADO FEDERAL,3511,35
NOELIO DA ROCHA OLIVEIRA,6,DEPUTADO FEDERAL,4490,44
FRANCISCA ELIANE BRAZ DE CARVALHO,6,DEPUTADO FEDERAL,5588,55
DAMIAO SOARES TENORIO,6,DEPUTADO FEDERAL,4445,44
ISRAEL FROTA DE OLIVEIRA,6,DEPUTADO FEDERAL,2012,20
MARIA OGERLANIA FREITAS RAULINO,6,DEPUTADO FEDERAL,2070,20
JOSE DANIEL FERREIRA FONTENELE,6,DEPUTADO FEDERAL,1926,19
FRANCISCO EDIVAN NONATO DA SILVA,6,DEPUTADO FEDERAL,7000,70
LEDA VASCONCELOS CARVALHO,6,DEPUTADO FEDERAL,1331,13
MAX SWELL VERAS RIBEIRO,6,DEPUTADO FEDERAL,1399,13
JOSÉ IVAN CARNEIRO,6,DEPUTADO FEDERAL,3612,36
ALÍPIO RODRIGUES DE OLIVEIRA NETO,6,DEPUTADO FEDERAL,4099,40
EWERTON LACERDA SANTANA,6,DEPUTADO FEDERAL,1566,15
FRANCISCO EVANDO DELFINO MARREIRO,6,DEPUTADO FEDERAL,4020,40
HELIO VENTURA DE OLIVEIRA FILHO,6,DEPUTADO FEDERAL,4441,44
ADRIANO PEREIRA DA ROCHA,6,DEPUTADO FEDERAL,1918,19
RITA DE CÁSSIA FERREIRA,6,DEPUTADO FEDERAL,1450,14
PRISCILA BEZERRA DA COSTA,6,DEPUTADO FEDERAL,2288,22
FRANCISCO NILSON ALVES DINIZ,6,DEPUTADO FEDERAL,1299,12
FRANCISCO CÉSAR NOGUEIRA DA SILVA,6,DEPUTADO FEDERAL,1513,15
FERNANDA ENEIDA PESSOA CARACAS DE SOUZA,6,DEPUTADO FEDERAL,4477,44
FRANCISCO DE ASSIS CAVALCANTE NOGUEIRA,6,DEPUTADO FEDERAL,2201,22
FABIANO MAGALHÃES DE MESQUITA,6,DEPUTADO FEDERAL,5515,55
