id_municipio,id_municipio_tse,id_uf,nome_municipio,centroide
2311009,15210,23,PORANGA,POINT(-41.0775052095165 -4.79905991645458)
2311702,15350,23,RERIUTABA,POINT(-40.6153609876541 -4.11851616862522)
2313955,98574,23,VARJOTA,POINT(-40.4945906460623 -4.16806278827314)
2305902,14192,23,IPUEIRAS,POINT(-40.8768115985308 -4.57301698050105)
2310951,13048,23,PIRES FERREIRA,POINT(-40.5834295720163 -4.25931423746571)
2305803,14176,23,IPU,POINT(-40.6696894315616 -4.36915603624056)
2312205,15458,23,SANTA QUITERIA,POINT(-40.0425050690966 -4.34092275975515)
2303659,13447,23,CATUNDA,POINT(-40.1752727229689 -4.63167286017072)
2305209,14052,23,HIDROLANDIA,POINT(-40.402671004531 -4.43905123154265)
2306405,14290,23,ITAPIPOCA,POINT(-39.5988552114938 -3.39615922413453)
2313500,15717,23,TRAIRI,POINT(-39.3536042893092 -3.33833235816092)
2300754,15873,23,AMONTADA,POINT(-39.7856653561724 -3.23998688085417)
2310258,15997,23,PARAIPABA,POINT(-39.1828378782386 -3.42596230229414)
2310209,15059,23,PARACURU,POINT(-39.0400663548452 -3.48100099719425)
2312403,15490,23,SAO GONCALO DO AMARANTE,POINT(-39.0570954995034 -3.60199275180605)
2313559,13080,23,TURURU,POINT(-39.4053718906315 -3.55174280390931)
2313807,15776,23,URUBURETAMA,POINT(-39.5158764594715 -3.62273079656368)
2313757,98558,23,UMIRIM,POINT(-39.3851934650064 -3.68733072576849)
2306306,14273,23,ITAPAGE,POINT(-39.5747965773577 -3.73392726104769)
2312601,15539,23,SAO LUIS DO CURU,POINT(-39.264854100991 -3.64592600817012)
2310704,15156,23,PENTECOSTE,POINT(-39.1496861343951 -3.85284124957439)
2313351,13323,23,TEJUCUOCA,POINT(-39.5848432048699 -3.93371797120733)
2304608,13935,23,GENERAL SAMPAIO,POINT(-39.4445036607779 -4.05605667740017)
2300903,13170,23,APUIARES,POINT(-39.3213334761168 -3.97130719268321)
2310407,15091,23,PARAMOTI,POINT(-39.3992657227797 -4.1609019129523)
2303006,13595,23,CARIDADE,POINT(-39.1188199638008 -4.17593134309136)
2306603,14338,23,ITATIRA,POINT(-39.5706771970818 -4.62439374582132)
2302800,13552,23,CANINDE,POINT(-39.4184985215429 -4.39865071154836)
2310100,15032,23,PALMACIA,POINT(-38.839472678862 -4.12644825052443)
2306504,14311,23,ITAPIUNA,POINT(-38.9522677165085 -4.59645094546568)
2309102,14834,23,MULUNGU,POINT(-38.9894675820406 -4.30641420786562)
2300150,13145,23,ACARAPE,POINT(-38.6630977947497 -4.22240011606352)
2309805,14974,23,PACOTI,POINT(-38.9034109481117 -4.19826008353571)
2301406,13277,23,ARATUBA,POINT(-39.0270606080036 -4.42065955234515)
2311603,15334,23,REDENCAO,POINT(-38.7659025942809 -4.24917584916007)
2302909,13579,23,CAPISTRANO,POINT(-38.909190246654 -4.46876461694742)
2301208,13234,23,ARACOIABA,POINT(-38.7161406434303 -4.48332364847495)
2305100,14036,23,GUARAMIRANGA,POINT(-38.9467097926907 -4.24473981672378)
2302107,13412,23,BATURITE,POINT(-38.852588429485 -4.38077811992883)
2303956,13161,23,CHOROZINHO,POINT(-38.4732607841882 -4.30358667660439)
2309458,13307,23,OCARA,POINT(-38.5078868613563 -4.52743049142018)
2301950,13129,23,BARREIRA,POINT(-38.6206456833794 -4.32751046075372)
2310852,13285,23,PINDORETAMA,POINT(-38.3118345109888 -4.05668258995461)
2302206,13439,23,BEBERIBE,POINT(-38.1139772092653 -4.3999518388361)
2303501,13692,23,CASCAVEL,POINT(-38.3002885352691 -4.23868707056672)
2303709,13730,23,CAUCAIA,POINT(-38.8088501175022 -3.78346590928718)
2306256,13480,23,ITAITINGA,POINT(-38.5498417729566 -3.99910246024155)
2309706,14958,23,PACATUBA,POINT(-38.5957993410933 -3.95250946859954)
2304400,13897,23,FORTALEZA,POINT(-38.5277507942515 -3.78565110126041)
2307650,15857,23,MARACANAU,POINT(-38.6288797743167 -3.88094002437854)
2307700,14559,23,MARANGUAPE,POINT(-38.8141680892682 -4.00950637706735)
2304954,13242,23,GUAIUBA,POINT(-38.673906697743 -4.10542612072703)
2301000,13196,23,AQUIRAZ,POINT(-38.3944416863609 -3.97642649368465)
2304285,13226,23,EUSEBIO,POINT(-38.4575459983275 -3.87554041140083)
2309607,14931,23,PACAJUS,POINT(-38.498622764608 -4.18396284162584)
2305233,13188,23,HORIZONTE,POINT(-38.4651698392668 -4.10236071969787)
2313203,15652,23,TAMBORIL,POINT(-40.3360391562543 -4.92729307482148)
2309300,14877,23,NOVA RUSSAS,POINT(-40.5284801235067 -4.67986776556825)
2308609,14737,23,MONSENHOR TABOSA,POINT(-40.0445416581948 -4.91568979157507)
2309409,14893,23,NOVO ORIENTE,POINT(-40.7713255572822 -5.59272975863778)
2304103,13838,23,CRATEUS,POINT(-40.7196887986704 -5.19886869142509)
2305654,13340,23,IPAPORANGA,POINT(-40.8040435536737 -4.91006991390707)
2311264,13102,23,QUITERIANOPOLIS,POINT(-40.7611808426795 -5.87196291039353)
2301257,13420,23,ARARENDA,POINT(-40.7469381111636 -4.77295613551521)
2305605,14133,23,INDEPENDENCIA,POINT(-40.3418117995882 -5.4744745081849)
2302404,13471,23,BOA VIAGEM,POINT(-39.8085372930609 -5.0881537228526)
2307635,13021,23,MADALENA,POINT(-39.51562311264 -4.85492834285151)
2303931,13463,23,CHORO,POINT(-39.1910692178203 -4.7722590546768)
2301851,13382,23,BANABUIU,POINT(-38.9033985895364 -5.26245100091114)
2311405,15296,23,QUIXERAMOBIM,POINT(-39.3302442615883 -5.24382080631033)
2311306,15270,23,QUIXADA,POINT(-38.9472589089803 -4.95473938231433)
2305266,14060,23,IBARETAMA,POINT(-38.7249212454447 -4.78039742229039)
2311900,15393,23,SABOEIRO,POINT(-39.8892807066549 -6.48467149080288)
2303600,13714,23,CATARINA,POINT(-39.9110601764094 -6.25402485624729)
2300408,13072,23,AIUABA,POINT(-40.2989127261941 -6.60515193998432)
2301505,13293,23,ARNEIROZ,POINT(-40.1551282335452 -6.23918154763003)
2310308,15075,23,PARAMBU,POINT(-40.628156865783 -6.30501154501021)
2313302,15679,23,TAUA,POINT(-40.2595367905564 -5.93715033433312)
2308351,15970,23,MILHA,POINT(-39.1712860244605 -5.64120651860586)
2310506,15113,23,PEDRA BRANCA,POINT(-39.8470745379237 -5.49658325396341)
2313005,15610,23,SOLONOPOLE,POINT(-39.0028969784393 -5.7771418368084)
2312700,15555,23,SENADOR POMPEU,POINT(-39.4381300315351 -5.58035888906324)
2304269,15989,23,DEPUTADO IRAPUAN PINHEIRO,POINT(-39.2665875450294 -5.88735371587069)
2308500,14710,23,MOMBACA,POINT(-39.7485798658501 -5.7883685870353)
2310902,15199,23,PIQUET CARNEIRO,POINT(-39.4518571203532 -5.8634293567264)
2300309,13056,23,ACOPIARA,POINT(-39.4927951502607 -6.1224288544722)
2305357,15938,23,ICAPUI,POINT(-37.4116253605248 -4.73832262561857)
2304459,13501,23,FORTIM,POINT(-37.8726946244521 -4.46379122500724)
