nome_municipio,ano,total_furtos
Barreira,2015,56
Barreira,2016,44
Barreira,2017,51
Barreira,2018,57
Barreira,2019,41
Barreira,2020,23
Barreira,2021,21
Barreira,2022,22
Barreira,2023,31
Barro,2009,4
Barro,2010,3
Barro,2011,4
Barro,2012,23
Barro,2013,26
Barro,2014,20
Barro,2015,20
Barro,2016,22
Barro,2017,29
Barro,2018,24
Barro,2019,33
Barro,2020,19
Barro,2021,19
Barro,2022,22
Barro,2023,28
Barroquinha,2009,1
Barroquinha,2012,2
Barroquinha,2013,21
Barroquinha,2014,17
Barroquinha,2015,26
Barroquinha,2016,22
Barroquinha,2017,36
Barroquinha,2018,39
Barroquinha,2019,23
Barroquinha,2020,13
Barroquinha,2021,25
Barroquinha,2022,15
Barroquinha,2023,30
Baturité,2009,165
Baturité,2010,151
Baturité,2011,126
Baturité,2012,196
Baturité,2013,192
Baturité,2014,116
Baturité,2015,174
Baturité,2016,162
Baturité,2017,170
Baturité,2018,138
Baturité,2019,153
Baturité,2020,168
Baturité,2021,129
Baturité,2022,159
Baturité,2023,159
Beberibe,2009,57
Beberibe,2010,107
Beberibe,2011,279
Beberibe,2012,253
Beberibe,2013,251
Beberibe,2014,269
Beberibe,2015,301
Beberibe,2016,315
Beberibe,2017,209
Beberibe,2018,169
Beberibe,2019,199
Beberibe,2020,181
Beberibe,2021,161
Beberibe,2022,159
Beberibe,2023,190
Bela Cruz,2009,9
Bela Cruz,2010,10
Bela Cruz,2011,17
Bela Cruz,2012,14
Bela Cruz,2013,114
Bela Cruz,2014,56
Bela Cruz,2015,69
Bela Cruz,2016,86
Bela Cruz,2017,68
Bela Cruz,2018,44
Bela Cruz,2019,51
Bela Cruz,2020,38
Bela Cruz,2021,66
Bela Cruz,2022,58
Bela Cruz,2023,82
Boa Viagem,2009,2
Boa Viagem,2010,3
Boa Viagem,2011,3
Boa Viagem,2012,2
Boa Viagem,2013,35
Boa Viagem,2014,80
Boa Viagem,2015,142
Boa Viagem,2016,132
Boa Viagem,2017,155
Boa Viagem,2018,149
Boa Viagem,2019,154
Boa Viagem,2020,79
Boa Viagem,2021,108
Boa Viagem,2022,125
Boa Viagem,2023,128
Brejo Santo,2009,2
Brejo Santo,2010,4
Brejo Santo,2011,34
Brejo Santo,2012,113
Brejo Santo,2013,92
Brejo Santo,2014,71
Brejo Santo,2015,128
Brejo Santo,2016,150
Brejo Santo,2017,194
Brejo Santo,2018,205
Brejo Santo,2019,162
Brejo Santo,2020,96
Brejo Santo,2021,114
Brejo Santo,2022,191
Brejo Santo,2023,183
Camocim,2009,5
Camocim,2010,9
